##WOJ,Dolnośląskie                  
leszczyński                   ,52194
międzychodzki                 ,36704
nowotomyski                   ,73090
obornicki                     ,57430
ostrowski                     ,159641
ostrzeszowski                 ,55047
pilski                        ,137723
pleszewski                    ,62563
poznański                     ,327110
rawicki                       ,60056
słupecki                      ,58436
szamotulski                   ,87875
średzki                       ,55794
śremski                       ,59468
turecki                       ,83707
wągrowiecki                   ,68757
wolsztyński                   ,55853
wrzesiński                    ,75125
złotowski                     ,68791
m. Kalisz                     ,106664
m. Konin                      ,79212
m. Leszno                     ,64432
m. Poznań                     ,551627
##WOJ,Zachodniopomorskie            
białogardzki                  ,48193
choszczeński                  ,49574
drawski                       ,57353
goleniowski                   ,80305
gryficki                      ,60569
gryfiński                     ,82727
kamieński                     ,47672
kołobrzeski                   ,77244
koszaliński                   ,64411
myśliborski                   ,66972
policki                       ,70380
pyrzycki                      ,39774
sławieński                    ,57251
stargardzki                   ,119306
szczecinecki                  ,76900
świdwiński                    ,48205
wałecki                       ,54023
łobeski                       ,37900
m. Koszalin                   ,107948
m. Szczecin                   ,405606
m. Świnoujście                ,40759
